food,ingredients,recipe
Lasagna,"lasagna noodles, ground beef or Italian sausage, onion, garlic, tomato sauce, ricotta cheese, mozzarella cheese, Parmesan cheese, eggs, basil, oregano, salt, pepper","1. Preheat oven to 375°F (190°C) and grease a baking dish.
2. Cook lasagna noodles according to package instructions, then drain and set aside.
3. In a skillet, cook ground beef or Italian sausage with chopped onion and minced garlic until browned.
4. Stir in tomato sauce and simmer for 10-15 minutes.
5. In a bowl, mix together ricotta cheese, grated mozzarella cheese, grated Parmesan cheese, beaten eggs, chopped basil, dried oregano, salt, and pepper.
6. Spread a layer of meat sauce in the bottom of the prepared baking dish.
7. Arrange a layer of cooked lasagna noodles over the sauce.
8. Spread a layer of the cheese mixture over the noodles.
9. Repeat layers of meat sauce, noodles, and cheese until all ingredients are used, ending with a layer of cheese on top.
10. Cover lasagna with aluminum foil and bake in the preheated oven for 45 minutes.
11. Remove foil and bake for an additional 15 minutes until bubbly and golden brown on top.
12. Let lasagna rest for 10-15 minutes before slicing and serving.
13. Serve lasagna hot and enjoy!"
Lobster Bisque,"lobster meat, butter, onion, carrot, celery, garlic, tomato paste, brandy, fish stock, heavy cream, salt, pepper, paprika, parsley","1. In a large pot, melt butter over medium heat.
2. Sauté chopped onion, carrot, celery, and minced garlic until softened.
3. Stir in tomato paste and cook for a few minutes.
4. Add brandy and cook until alcohol evaporates.
5. Pour in fish stock and bring to a simmer.
6. Add lobster meat and simmer for 20-30 minutes.
7. Stir in heavy cream and season with salt, pepper, and paprika.
8. Simmer for another 10-15 minutes.
9. Garnish with chopped parsley before serving."
Lobster Roll Sandwich,"lobster meat, mayonnaise, lemon juice, celery, salt, pepper, butter, hot dog buns","1. Mix together lobster meat, mayonnaise, lemon juice, chopped celery, salt, and pepper in a bowl.
2. Butter hot dog buns and toast until golden brown.
3. Fill toasted buns with lobster mixture.
4. Serve immediately."
Macaroni and Cheese,"macaroni pasta, butter, flour, milk, cheese (such as cheddar or Gruyère), salt, pepper, breadcrumbs","1. Cook macaroni pasta according to package instructions, then drain and set aside.
2. In a saucepan, melt butter over medium heat.
3. Whisk in flour to form a roux, then gradually whisk in milk until smooth.
4. Cook sauce until thickened, then stir in grated cheese until melted and smooth.
5. Season cheese sauce with salt and pepper to taste.
6. Add cooked macaroni to the cheese sauce and stir until well coated.
7. Transfer macaroni and cheese to a baking dish.
8. Sprinkle breadcrumbs over the top.
9. Bake macaroni and cheese in a preheated oven at 375°F (190°C) for 25-30 minutes until bubbly and golden brown on top.
10. Serve macaroni and cheese hot and enjoy!"
Macarons,"almond flour, powdered sugar, egg whites, granulated sugar, food coloring (optional), buttercream or ganache filling","1. Sift together almond flour and powdered sugar in a bowl.
2. In another bowl, beat egg whites until foamy, then gradually add granulated sugar until stiff peaks form.
3. Gently fold almond flour mixture into the egg whites until smooth.
4. If using, add food coloring and fold until desired color is achieved.
5. Transfer batter to a piping bag fitted with a round tip.
6. Pipe small circles onto a baking sheet lined with parchment paper.
7. Let macaron shells sit at room temperature for 30-60 minutes until a skin forms.
8. Preheat oven to 300°F (150°C) and bake macarons for 15-18 minutes.
9. Let macarons cool completely before sandwiching with buttercream or ganache filling."
Miso Soup,"dashi (Japanese soup stock), miso paste, tofu, green onions, seaweed (such as nori)","1. Bring dashi to a simmer in a pot.
2. Dissolve miso paste in a small amount of dashi, then stir into the pot.
3. Add diced tofu and sliced green onions to the pot.
4. Simmer for a few minutes until tofu is heated through.
5. Remove from heat and stir in sliced seaweed.
6. Serve hot."
Mussels,"mussels, white wine, garlic, shallots, parsley, butter, lemon juice, salt, pepper","1. Clean mussels and discard any that are open or cracked.
2. In a large pot, melt butter over medium heat.
3. Sauté minced garlic and diced shallots until softened.
4. Add cleaned mussels to the pot, then pour in white wine.
5. Cover and steam mussels for 5-7 minutes until they open.
6. Discard any mussels that do not open.
7. Stir in chopped parsley, lemon juice, salt, and pepper.
8. Serve mussels hot with crusty bread for dipping."
Nachos,"tortilla chips, cheese, beans, protein (such as seasoned ground beef, shredded chicken, or carnitas), salsa, guacamole, sour cream, jalapeños","1. Preheat oven to 350°F (175°C) and line a baking sheet with parchment paper.
2. Spread tortilla chips in a single layer on the prepared baking sheet.
3. Sprinkle shredded cheese over the chips, followed by beans and cooked protein.
4. Bake nachos in the preheated oven for 5-7 minutes until cheese is melted and bubbly.
5. Remove nachos from the oven and top with salsa, guacamole, sour cream, and sliced jalapeños.
6. Serve nachos hot and enjoy!"
Omelette,"eggs, milk, salt, pepper, butter, fillings (such as cheese, vegetables, ham)","1. In a bowl, beat together eggs, milk, salt, and pepper until well combined.
2. Heat butter in a skillet over medium heat until melted.
3. Pour egg mixture into the skillet.
4. As eggs set, lift edges with a spatula, tilting pan to allow uncooked eggs to flow underneath.
5. Once eggs are almost set, add desired fillings (such as cheese, vegetables, or ham) to one half of the omelette.
6. Fold the other half of the omelette over the filling.
7. Cook for another minute until filling is heated through and omelette is golden brown.
8. Slide omelette onto a plate and serve hot."
Onion Rings,"onions, buttermilk, flour, cornstarch, baking powder, salt, pepper, paprika, vegetable oil","1. Slice onions into rings and separate.
2. Place onion rings in a bowl and pour buttermilk over them, making sure they are well coated.
3. In another bowl, whisk together flour, cornstarch, baking powder, salt, pepper, and paprika.
4. Remove onion rings from buttermilk, shaking off excess, and dredge in the flour mixture until well coated.
5. Heat vegetable oil in a deep fryer or large pot to 375°F (190°C).
6. Fry onion rings in batches for 2-3 minutes until golden brown and crispy.
7. Remove onion rings from oil and drain on paper towels.
8. Serve onion rings hot and enjoy!"
Oysters,"fresh oysters, lemon wedges, hot sauce, cocktail sauce, mignonette sauce","1. Shuck fresh oysters and remove them from their shells.
2. Arrange shucked oysters on a bed of crushed ice.
3. Serve oysters with lemon wedges, hot sauce, cocktail sauce, and mignonette sauce on the side.
4. Enjoy oysters immediately!"
Pad Thai,"rice noodles, shrimp, tofu, eggs, bean sprouts, green onions, peanuts, garlic, tamarind paste, fish sauce, soy sauce, sugar, vegetable oil","1. Soak rice noodles in warm water until softened, then drain.
2. Heat vegetable oil in a wok or skillet over medium-high heat.
3. Add minced garlic and stir-fry until fragrant.
4. Add shrimp and tofu, stir-fry until shrimp is pink and tofu is golden.
5. Push ingredients to one side of the pan and crack eggs into the empty space.
6. Scramble eggs until cooked, then mix with other ingredients.
7. Add softened rice noodles to the pan, along with tamarind paste, fish sauce, soy sauce, and sugar.
8. Stir-fry until noodles are coated and heated through.
9. Stir in bean sprouts and chopped green onions.
10. Serve hot, garnished with chopped peanuts."
Paella,"rice, chicken, chorizo sausage, shrimp, mussels, onion, garlic, bell pepper, tomato, peas, saffron, paprika, chicken broth, olive oil, salt, pepper, lemon wedges","1. Heat olive oil in a large skillet or paella pan over medium heat.
2. Sauté chopped onion, minced garlic, and diced bell pepper until softened.
3. Add chopped tomato and cook until it breaks down.
4. Stir in sliced chorizo sausage and diced chicken, cooking until browned.
5. Add rice, saffron, and paprika to the skillet, stirring to coat the rice.
6. Pour in chicken broth and bring to a simmer.
7. Arrange shrimp, mussels, and peas over the rice.
8. Cover and simmer for about 20 minutes until rice is cooked and seafood is cooked through.
9. Season with salt and pepper to taste.
10. Garnish with lemon wedges before serving."
Pancakes,"flour, sugar, baking powder, salt, milk, eggs, butter","1. In a bowl, whisk together flour, sugar, baking powder, and salt.
2. In another bowl, whisk together milk, eggs, and melted butter.
3. Pour wet ingredients into dry ingredients and mix until just combined.
4. Heat a griddle or skillet over medium heat and grease with butter or oil.
5. Pour batter onto the griddle to form pancakes.
6. Cook until bubbles form on the surface, then flip and cook until golden brown on the other side.
7. Serve pancakes hot with maple syrup, fruit, or toppings of your choice."
Panna Cotta,"heavy cream, milk, sugar, gelatin, vanilla extract","1. In a saucepan, heat heavy cream, milk, and sugar until almost boiling.
2. Sprinkle gelatin over the mixture and whisk until dissolved.
3. Stir in vanilla extract.
4. Pour mixture into serving glasses or ramekins.
5. Refrigerate for at least 4 hours or until set.
6. Serve chilled."
Peking Duck,"duck, salt, Chinese five-spice powder, honey, soy sauce, hoisin sauce, pancakes, cucumber, scallions","1. Pat duck dry with paper towels.
2. Rub duck inside and out with salt and Chinese five-spice powder.
3. Hang duck in a cool, dry place for 24 hours to dry out the skin.
4. Preheat oven to 375°F (190°C).
5. Roast duck in the preheated oven for 1.5-2 hours until skin is crispy and golden brown.
6. While duck is roasting, mix together honey, soy sauce, and hoisin sauce in a bowl.
7. Brush the duck with the honey-soy mixture every 30 minutes during roasting.
8. Remove duck from oven and let rest for 15-20 minutes before carving.
9. Serve carved duck with pancakes, sliced cucumber, and scallions for wrapping."
Pho,"beef or chicken bones, water, onions, ginger, star anise, cinnamon, cloves, coriander seeds, fish sauce, rice noodles, protein (such as sliced beef or chicken), bean sprouts, lime wedges, Thai basil, cilantro, jalapeño slices, hoisin sauce, sriracha sauce","1. Place bones in a large pot and cover with water.
2. Bring to a boil, then reduce heat and simmer for 1-2 hours, skimming any foam that rises to the surface.
3. Char onions and ginger over an open flame or under the broiler until fragrant and slightly blackened.
4. Add charred onions, ginger, star anise, cinnamon, cloves, and coriander seeds to the pot.
5. Simmer pho broth for an additional 2-3 hours.
6. Strain broth and season with fish sauce to taste.
7. Cook rice noodles according to package instructions, then drain.
8. Arrange cooked noodles and sliced protein in serving bowls.
9. Pour hot pho broth over the noodles and protein.
10. Serve pho with bean sprouts, lime wedges, Thai basil, cilantro, jalapeño slices, hoisin sauce, and sriracha sauce on the side.
11. Enjoy hot!"
Pizza,"pizza dough, pizza sauce, cheese, toppings (such as pepperoni, sausage, mushrooms, bell peppers, onions, olives)","1. Preheat oven to 475°F (245°C).
2. Roll out pizza dough on a lightly floured surface to desired thickness.
3. Transfer dough to a pizza pan or baking sheet.
4. Spread pizza sauce over the dough, leaving a small border around the edges.
5. Sprinkle cheese evenly over the sauce, then add desired toppings.
6. Bake pizza in the preheated oven for 12-15 minutes until crust is golden brown and cheese is bubbly.
7. Slice pizza and serve hot."
Pork Chop,"pork chops, olive oil, salt, pepper, garlic powder, onion powder, paprika, dried thyme","1. Preheat grill or skillet over medium-high heat.
2. Rub pork chops with olive oil and season with salt, pepper, garlic powder, onion powder, paprika, and dried thyme.
3. Grill or sear pork chops for 4-5 minutes on each side until cooked through.
4. Let rest for a few minutes before serving."
Poutine,"french fries, cheese curds, gravy","1. Cook french fries according to package instructions, or until golden and crispy.
2. While fries are cooking, prepare gravy according to package instructions or make homemade gravy.
3. Once fries are cooked, sprinkle cheese curds over hot fries.
4. Pour hot gravy over the fries and cheese curds.
5. Serve immediately."
Prime Rib,"prime rib roast, olive oil, salt, pepper, garlic, rosemary, thyme","1. Preheat oven to 450°F (230°C).
2. Rub prime rib roast with olive oil and season generously with salt, pepper, minced garlic, chopped rosemary, and thyme.
3. Place roast on a rack in a roasting pan.
4. Roast in the preheated oven for 15 minutes, then reduce heat to 325°F (165°C).
5. Continue roasting for 15-20 minutes per pound until internal temperature reaches desired doneness (about 135°F (57°C) for medium-rare).
6. Let prime rib rest for 15-20 minutes before carving.
7. Slice prime rib and serve hot with au jus or horseradish sauce."
Pulled Pork Sandwich,"pork shoulder, barbecue sauce, hamburger buns, coleslaw","1. Rub pork shoulder with barbecue seasoning.
2. Slow cook pork shoulder in a crockpot or oven until tender.
3. Shred cooked pork using forks.
4. Mix shredded pork with barbecue sauce.
5. Toast hamburger buns on a grill or in a toaster.
6. Place pulled pork on toasted buns and top with coleslaw.
7. Serve hot."
Ramen,"ramen noodles, broth (such as chicken, pork, or vegetable), protein (such as sliced pork, chicken, tofu, or egg), vegetables (such as green onions, mushrooms, and spinach), soy sauce, miso paste, sesame oil, garlic, ginger","1. Cook ramen noodles according to package instructions, then drain and set aside.
2. In a pot, heat broth over medium heat until simmering.
3. Add protein (such as sliced pork, chicken, tofu, or egg) to the broth and cook until heated through.
4. Add vegetables (such as sliced green onions, mushrooms, and spinach) to the pot and cook until tender.
5. Stir in soy sauce, miso paste, sesame oil, minced garlic, and grated ginger to taste.
6. Divide cooked ramen noodles among serving bowls.
7. Ladle hot broth, protein, and vegetables over the noodles.
8. Serve ramen hot and enjoy!"
Ravioli,"ravioli pasta, ricotta cheese, Parmesan cheese, egg, salt, pepper, marinara sauce","1. Cook ravioli pasta according to package instructions.
2. In a bowl, mix together ricotta cheese, grated Parmesan cheese, egg, salt, and pepper to make the filling.
3. Spoon filling onto cooked ravioli pasta.
4. Serve ravioli hot with marinara sauce."
Red Velvet Cake,"flour, cocoa powder, sugar, eggs, buttermilk, butter, red food coloring, vanilla extract, vinegar, baking soda, salt, cream cheese, powdered sugar","1. Preheat oven to 350°F (175°C).
2. Sift together flour, cocoa powder, and salt.
3. In a separate bowl, cream together butter and sugar until light and fluffy.
4. Beat in eggs one at a time, then mix in buttermilk, red food coloring, vanilla extract, vinegar, and baking soda.
5. Gradually add dry ingredients to wet ingredients, mixing until smooth.
6. Divide batter evenly between cake pans.
7. Bake for 25-30 minutes until a toothpick inserted into the center comes out clean.
8. Let cakes cool completely before frosting.
9. For frosting, beat together cream cheese and powdered sugar until smooth.
10. Frost cooled cakes and serve."
Risotto,"Arborio rice, onion, garlic, white wine, chicken or vegetable broth, butter, Parmesan cheese, salt, pepper, parsley","1. In a saucepan, heat chicken or vegetable broth and keep warm.
2. In a separate pot, melt butter over medium heat.
3. Sauté chopped onion and minced garlic until softened.
4. Add Arborio rice to the pot and cook for a few minutes until translucent.
5. Pour in white wine and cook until absorbed.
6. Gradually add warm broth to the rice, stirring constantly and allowing each addition to be absorbed before adding more.
7. Continue cooking and stirring until rice is creamy and tender.
8. Stir in grated Parmesan cheese, salt, pepper, and chopped parsley.
9. Serve risotto hot."
Samosa,"potatoes, peas, onions, spices, pastry dough","1. Boil potatoes until tender, then mash them.
2. In a skillet, heat oil and sauté onions until translucent.
3. Add peas and cooked until tender.
4. Stir in mashed potatoes and spices, mix well.
5. Roll out pastry dough and cut into circles.
6. Place a spoonful of potato mixture in the center of each circle.
7. Fold dough over filling to form a triangle, then seal edges.
8. Deep fry samosas until golden brown.
9. Serve hot with chutney."
Sashimi,"fresh raw fish (such as tuna, salmon, or yellowtail), soy sauce, wasabi, pickled ginger","1. Slice fresh raw fish into thin pieces.
2. Arrange slices on a plate.
3. Serve with soy sauce, wasabi, and pickled ginger on the side."
Scallops,"scallops, butter, garlic, lemon juice, parsley, salt, pepper","1. Pat scallops dry with paper towels.
2. Heat butter in a skillet over medium-high heat.
3. Sear scallops for 2-3 minutes on each side until golden brown and cooked through.
4. Add minced garlic to the skillet and cook until fragrant.
5. Stir in lemon juice and chopped parsley.
6. Season scallops with salt and pepper to taste.
7. Serve hot."
Seaweed Salad,"seaweed, sesame oil, soy sauce, rice vinegar, sugar, sesame seeds","1. Soak seaweed in water until rehydrated, then drain well.
2. In a bowl, whisk together sesame oil, soy sauce, rice vinegar, and sugar until sugar is dissolved.
3. Toss seaweed with dressing until well coated.
4. Sprinkle with sesame seeds before serving."
Shrimp and Grits,"shrimp, grits, butter, garlic, chicken broth, heavy cream, salt, pepper, green onions","1. Cook grits according to package instructions.
2. In a skillet, melt butter over medium heat.
3. Sauté minced garlic until fragrant.
4. Add shrimp and cook until pink and cooked through.
5. Pour in chicken broth and heavy cream, bring to a simmer.
6. Season with salt and pepper to taste.
7. Serve shrimp over cooked grits, garnished with chopped green onions."
Spaghetti Bolognese,"spaghetti, ground beef, onion, garlic, carrot, celery, tomato paste, crushed tomatoes, red wine, beef broth, olive oil, salt, pepper, basil, Parmesan cheese","1. Cook spaghetti according to package instructions.
2. In a large skillet, heat olive oil over medium heat.
3. Sauté chopped onion, minced garlic, diced carrot, and diced celery until softened.
4. Add ground beef and cook until browned.
5. Stir in tomato paste and cook for a few minutes.
6. Pour in crushed tomatoes, red wine, and beef broth.
7. Simmer for 20-30 minutes until sauce is thickened.
8. Season with salt, pepper, and chopped basil.
9. Serve sauce over cooked spaghetti, garnished with grated Parmesan cheese."
Spaghetti Carbonara,"spaghetti, bacon or pancetta, eggs, Parmesan cheese, garlic, black pepper, parsley","1. Cook spaghetti according to package instructions, then drain and reserve some pasta water.
2. In a skillet, cook chopped bacon or pancetta until crispy, then remove from skillet and set aside.
3. In a bowl, whisk together eggs, grated Parmesan cheese, minced garlic, and black pepper.
4. Add cooked spaghetti to the skillet with the bacon fat, then pour egg mixture over the spaghetti.
5. Toss spaghetti in the skillet until coated in the egg mixture.
6. If the sauce is too thick, add a splash of reserved pasta water to thin it out.
7. Stir in cooked bacon or pancetta.
8. Serve spaghetti carbonara hot, garnished with chopped parsley."
Spring Rolls,"rice paper wrappers, vermicelli noodles, shrimp, lettuce, cucumber, carrots, fresh herbs (such as mint, cilantro, and Thai basil), hoisin sauce, peanut sauce","1. Cook vermicelli noodles according to package instructions, then drain and rinse with cold water.
2. Prepare shrimp by boiling or grilling until cooked through, then peel and devein.
3. Soak rice paper wrappers in warm water until pliable.
4. Place a few shrimp, vermicelli noodles, lettuce, cucumber, carrots, and fresh herbs on each wrapper.
5. Fold the sides of the wrapper over the filling, then roll tightly.
6. Serve spring rolls with hoisin sauce and peanut sauce for dipping."
Steak,"steak, salt, pepper, olive oil","1. Preheat grill or skillet over high heat.
2. Season steak generously with salt and pepper.
3. Drizzle olive oil over steak.
4. Grill or sear steak for about 4-5 minutes per side for medium-rare, or longer for desired doneness.
5. Let steak rest for a few minutes before slicing and serving."
Strawberry Shortcake,"strawberries, sugar, flour, baking powder, salt, butter, milk, vanilla extract, whipped cream","1. Preheat oven to 425°F (220°C).
2. Slice strawberries and toss with sugar in a bowl, then set aside.
3. In another bowl, combine flour, sugar, baking powder, and salt.
4. Cut in butter until mixture resembles coarse crumbs.
5. Stir in milk and vanilla extract until dough forms.
6. Drop dough by spoonfuls onto a baking sheet.
7. Bake for 10-12 minutes until golden brown.
8. Split shortcakes in half and fill with strawberries and whipped cream.
9. Serve immediately."
Sushi,"sushi rice, nori seaweed, fish or seafood (such as tuna, salmon, or shrimp), vegetables (such as cucumber, avocado, or carrot), soy sauce, wasabi, pickled ginger","1. Prepare sushi rice according to package instructions, then let it cool to room temperature.
2. Place a sheet of nori seaweed on a bamboo sushi mat.
3. Spread a thin layer of sushi rice over the nori, leaving a small border around the edges.
4. Arrange sliced fish or seafood and sliced vegetables on top of the rice.
5. Roll the sushi tightly using the bamboo mat, pressing gently as you roll.
6. Slice the sushi roll into individual pieces using a sharp knife.
7. Serve sushi with soy sauce, wasabi, and pickled ginger."
Tacos,"tortillas, protein (such as beef, chicken, pork, or fish), taco seasoning, lettuce, tomatoes, cheese, salsa, sour cream, guacamole","1. Cook protein according to taco seasoning instructions.
2. Warm tortillas in a skillet or microwave.
3. Assemble tacos with cooked protein, shredded lettuce, diced tomatoes, grated cheese, salsa, sour cream, and guacamole.
4. Serve tacos hot and enjoy!"
Takoyaki,"octopus, flour, eggs, dashi stock, green onions, pickled ginger, tempura scraps (tenkasu), bonito flakes, mayonnaise, takoyaki sauce","1. Chop cooked octopus into small pieces.
2. In a bowl, mix together flour, eggs, dashi stock, chopped green onions, and diced pickled ginger to make batter.
3. Heat a takoyaki pan and brush with oil.
4. Pour batter into each hole of the pan, then add a piece of octopus and some tempura scraps (tenkasu) into each hole.
5. Cook until the bottom is set, then use skewers to flip each takoyaki over.
6. Cook until all sides are golden brown and crispy.
7. Transfer takoyaki to a plate and drizzle with mayonnaise and takoyaki sauce.
8. Sprinkle with bonito flakes before serving."
Tiramisu,"ladyfingers, espresso coffee, mascarpone cheese, sugar, egg yolks, cocoa powder, rum or Marsala wine","1. Brew espresso coffee and let it cool.
2. In a bowl, whisk together mascarpone cheese, sugar, and egg yolks until smooth.
3. Dip ladyfingers into cooled espresso coffee, then arrange them in a single layer in a serving dish.
4. Spread a layer of the mascarpone mixture over the ladyfingers.
5. Repeat layers of dipped ladyfingers and mascarpone mixture until dish is filled, ending with a layer of mascarpone mixture on top.
6. Dust the top with cocoa powder.
7. Refrigerate for at least 4 hours or overnight to set.
8. Before serving, sprinkle rum or Marsala wine over the top if desired."
Tuna Tartare,"fresh tuna, soy sauce, sesame oil, green onions, avocado, lime juice","1. Dice fresh tuna into small cubes.
2. In a bowl, mix together diced tuna, soy sauce, sesame oil, chopped green onions, and lime juice.
3. Cover and refrigerate for at least 30 minutes to let flavors meld.
4. Serve tuna tartare with sliced avocado."
Waffles,"flour, sugar, baking powder, salt, eggs, milk, butter, vanilla extract","1. Preheat waffle iron.
2. In a bowl, whisk together flour, sugar, baking powder, and salt.
3. In another bowl, beat eggs, then stir in milk, melted butter, and vanilla extract.
4. Gradually add wet ingredients to dry ingredients, mixing until just combined.
5. Cook waffles according to waffle iron instructions until golden brown.
6. Serve hot with desired toppings."
